PROVINCIA,CANTON,Suma de Total Compras,Suma de Total Ventas,Suma de Ventas Netas 0%,Suma de Ventas Netas 12%,Suma de Habitantes,Suma de Importaciones,Suma de Exportaciones,Suma de Compras Rise,Suma de Compras netas 12%,Suma de Compras netas 0%
LOJA,GONZANAMA,25927718.619999997,21451043.010000005,12297412.890000002,9153630.119999997,10953,12992.46,0,176440.54999999993,16609397.370000003,9128888.24
LOJA,LOJA,2128378981.5600011,2546102387.5099983,1323803128.8399997,1216856996.8600006,274112,32531367.819999985,5442261.8100000005,14169774.65,1369504106.13,712069961.5300001
LOJA,MACARA,122007426.71999995,124045804.9,95502647.43000005,28458829.05000002,20269,733050.4199999999,84328.42,945676.3500000001,41075777.70000002,79253817.33000001
LOJA,OLMEDO,2635261.369999999,2132626.5200000005,900010.1,1232616.42,4220,219.23,0,701.6,2178734.8299999996,455605.7100000001
LOJA,PALTAS,51084821.099999994,46666556.47000001,23758194.369999997,22842925.099999994,23471,411242.36000000004,65437,99143.32,30202020.200000003,20372415.220000003
LOJA,PINDAL,67615869.25999999,75029450.65000004,62639357.38000003,12321017.319999997,10540,13807.93,69075.95,3797045.7200000007,18837749.110000003,44967266.5
LOJA,PUYANGO,64571646.919999965,62107067.539999984,44506932.720000006,17596644.320000008,15925,3619.8199999999997,3490.5,975180.4099999999,26378867.549999997,37214374.63999999
LOJA,QUILANGA,4237404.37,2789484.6799999997,1151958.56,1637526.12,4197,0,0,51427.01000000001,3210378.1500000013,975599.2100000002
LOJA,SARAGURO,75506897.10000001,64450520.36999999,23571465.29999999,40419576.470000006,33506,197057.78999999998,459478.6,148906.46999999997,52773775.970000006,22387156.869999986
LOJA,SOZORANGA,8348575.110000002,6423834.770000002,2466467.4499999997,3957367.3199999994,7121,901.36,0,220977.95,5686539.7700000005,2440156.0300000007
LOJA,ZAPOTILLO,53328542.45000002,56274323.95,45548536.48,10709948.669999998,14325,225321.69,15838.8,775582,21812599.109999992,30515039.650000006
LOS RIOS,BABA,126658479.20999998,176290257.90999997,139770005.72000006,28354843.369999997,43429,57211.21,8165408.82,2914625.42,53557283.07,70129359.50999999
LOS RIOS,BABAHOYO,1052609194.0700002,1177497731.4500003,736382894.0399997,432190233.17000014,175281,18277931.5,8924604.239999998,7547629.1499999985,558987969.0299999,467140252.9
LOS RIOS,BUENA FE,430322058.2399999,514817692.00000006,330241082.82999986,134343699.90000004,83654,1821750.4900000005,50232909.269999996,19345311.59,167373901.53999996,241769735.52000007
LOS RIOS,MOCACHE,270575797.56000006,299574658.78,266913455.73000002,29987430.75999999,43316,313533.29000000004,2673772.29,10652700.84,59553120.86000001,200056442.57
LOS RIOS,MONTALVO,150118623.36,162926195.36,120009717.22000004,42860327.48,28720,1728239.6599999997,56179.28,318108.14,56098933.120000035,91973342.44000001
LOS RIOS,PALENQUE,43797190.890000015,55454549.620000005,44730641.94,10694792.68,23638,95731.65000000001,29115,337429.4,14966247.999999998,28397781.84
LOS RIOS,PUEBLO VIEJO,310262087.59000015,379957375.09999985,301165251.6199999,54809398.83000002,44725,339139.26999999996,23982724.649999995,1324486.4,77054178.50999995,231544283.40999997
LOS RIOS,QUEVEDO,2115975967.5,2478802570.9999995,1316714917.4100003,817082306.5300002,213842,44523919.27999999,345005347.05999994,39583030.7,987105173.71,1044693997.97
LOS RIOS,QUINSALOMA,151336908.68,172952603.84999993,129656379.80999997,39635771.55,20428,944470.06,3660452.49,6424598.009999999,53360534.28999998,90607306.32000002
LOS RIOS,URDANETA,135815220.84000012,147358186.11,85817536.78999999,33729918.32999999,32618,2148571.35,27810730.990000002,1248327.4900000002,48458278.44999999,83960043.54999995
LOS RIOS,VALENCIA,231468653.55,332041994.53000003,242853531.4699999,62159065.180000044,54637,886517.11,27029397.879999995,5688056.299999999,92987139.06000003,131901607.74999997
LOS RIOS,VENTANAS,769351069.1700006,812522208.9100001,556465422.81,132554572.43000002,75146,7418743.199999999,123502213.66999999,10876693.399999999,164563246.12999994,586492386.4399996
LOS RIOS,VINCES,255768135.34999996,324982821.61000013,217854326.81000006,96346018.25999993,82329,894764.7,10782476.54,2659415.67,114796390.78999999,137325030.75999993
MANABI,24 DE MAYO,26672364.08,27777261.690000005,20413457.430000007,7363804.259999998,28514,20742.530000000002,0,756034.4400000001,11310170.850000001,14585416.259999996
MANABI,BOLIVAR,132893365.50000003,144067744.64,77849193.97,62384832.26999999,45493,979151.0699999998,3833718.4,4139783.43,78271880.32000005,49502550.680000015
MANABI,CHONE,427692383.3300001,439262798.47,237808568.32,201322255.22999996,131002,5343034.51,131974.91999999998,2743067.3199999994,249732292.29000002,169874644.08999997
MANABI,EL CARMEN,2427947361.9099994,807063734,523205443.0400003,127521436.88999999,111344,5229879.35,156336854.07,32439207.389999993,1907585577.4199996,482690544.73000014
MANABI,FLAVIO ALFARO,49185430.18999998,50884023.25000003,25401830.049999997,22195203.47,23822,425044.49,3286989.7300000004,1669463.6199999999,29206206.42000001,17884715.660000004
MANABI,JAMA,53922554.370000005,57814420.70999999,41052787.69999998,16761633.009999998,26116,188402.94999999998,0,2304921.42,25462804.039999995,25966425.959999993
MANABI,JARAMIJO,1226372548.44,1422037637.2100005,549823067.2100002,63381546.18000005,28439,327673898.08000004,808833023.8199999,4187203.29,224347053.31000006,667756208.1000001
MANABI,JIPIJAPA,141192596.75,142318398.1899999,69593097.75000003,71899188.46,74645,890569.0800000001,826111.98,1380995.3699999999,92881768.29999998,46039264.00000001
MANABI,JUNIN,194666687.47999996,194046203.75,175705570.83999997,18340632.909999993,18820,26590238.8,0,7560513.17,31943794.650000002,128548932.86000001
MANABI,MANTA,3918844864.9200015,4647548843.75,2174265333.6299996,1686843313.1799998,264281,457848898.8200002,786440646.9099998,29565724.300000012,1905364415.7200003,1510983895.3400002
MANABI,MONTECRISTI,2507399730.9999995,3009736188.380001,1375179756.7400002,657501712.76,107785,563529087.3100001,977054718.97,9388996.64,657250892.51,1263055726.3700004
MANABI,OLMEDO,13105576.42,13005861.409999996,7591733.139999995,5413791.27,10194,213125.82,337,174654.01,9279706.170000002,3438090.4200000004
MANABI,PAJAN,84019742.44999996,88150979.77000001,60761342.160000026,27332680.430000003,37093,1163673.0699999998,56957.18,299002.8600000001,37507425.38,45049641.14
MANABI,PEDERNALES,355645146.8399999,401094914.88999987,286921578.86,81256195.20999998,63441,5365423.73,32917272.820000004,3373912.1899999995,121304727.53,225601283.39000002
MANABI,PICHINCHA,72513993.03999998,77145373.03999999,49912044.98000001,20382676.28999999,29599,31701.820000000003,6850651.7700000005,7579806.629999999,23613014.070000008,41289470.51999998
MANABI,PORTOVIEJO,2476125709.0099993,2429760625.500001,1182863533.4200006,1165501912.9300003,321800,19368895.82,81398229.14999999,31665653.650000002,1494271719.25,929258248.7499996
MANABI,PUERTO LOPEZ,58734060.43000002,64325437.730000004,31870819.230000004,27137973.11,24688,105157.61,5316645.390000001,803377.7399999998,32573447.869999994,25252077.210000012
MANABI,ROCAFUERTE,74287862.52000001,83365318.25,47448539.499999985,35881133.559999995,37312,332253.49,35645.19,1519024.6800000002,44872816.26,27563768.089999996
MANABI,SAN VICENTE,67079259.379999965,72208229.47,47677553.75999999,24395563.470000003,24799,310949.56000000006,135112.24,4920921.639999999,31043528.880000003,30803859.299999997
MANABI,SANTA ANA,123300572.42000002,141439489.41999996,80951289.1,60476713.61,48152,2373433.71,11486.71,472010.80999999994,67040080.06000001,53415047.83999999
MANABI,SUCRE,444033174.1500001,498155352.0600002,163643407.80000004,66878870.23000002,62443,5488998.550000001,267633074.02999997,8082178.719999997,119226257.11000003,311235739.7700001
MANABI,TOSAGUA,208433445.32,221028389.81000006,144301360.67,76604125.08999997,42297,2138455.9499999997,122904.05,35127983.44,89575904.42000002,81591101.50999999
MORONA SANTIAGO,GUALAQUIZA,96164714.73,82287956.33000001,25898178.809999995,56377699.03,19555,268372.94,12078.490000000002,237417.08999999997,74406360.77000001,21252563.930000003
